"id","csv_id","sample","individual","species","file_name","camera","collection_date","sample_station","nature_density","habitat","plot_number","type","determiner","notes","max_feret_diameter","perimeter","area","holes","area_plus_holes","exposure_time","framerate","light_intensity","aperture","image_path","operator","roi_left","roi_top","roi_right","roi_bottom","date","machine","roi_centroid","img_time","previous_img_time","interval","previous_roi_centroid","roi_centroid_difference","distance_mm","duration","speed","area_mm"
101413,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-516.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,125,384,5455,56,5511,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,12,464,476,2021-02-02 14:09:17,"standard",244,2021-02-02 14:09:17.516,NA,NA,NA,NA,NA,NA,NA,2.15604121205327
101414,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-539.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,125,374,5462,52,5514,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,30,464,494,2021-02-02 14:09:17,"standard",262,2021-02-02 14:09:17.539,2021-02-02 14:09:17.516,0,244,18,0.357852171268049,0.0230000019073486,15.5587887648702,2.15880790105132
101415,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-557.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,125,370,5488,49,5537,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,47,464,511,2021-02-02 14:09:17,"standard",279,2021-02-02 14:09:17.557,2021-02-02 14:09:17.539,0,262,17,0.337971495086491,0.0179998874664307,18.7763115584361,2.16908417447265
101416,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-577.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,125,367,5510,47,5557,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,64,464,528,2021-02-02 14:09:17,"standard",296,2021-02-02 14:09:17.577,2021-02-02 14:09:17.557,0,279,17,0.337971495086491,0.0199999809265137,16.8985908700766,2.17777948275224
101417,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-597.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,124,369,5507,57,5564,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,81,464,545,2021-02-02 14:09:17,"standard",313,2021-02-02 14:09:17.597,2021-02-02 14:09:17.577,0,296,17,0.337971495086491,0.0199999809265137,16.8985908700766,2.17659375889594
101418,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-616.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,124,370,5519,62,5581,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,98,464,562,2021-02-02 14:09:17,"standard",330,2021-02-02 14:09:17.616,2021-02-02 14:09:17.597,0,313,17,0.337971495086491,0.0190000534057617,17.7879234267837,2.18133665432117
101419,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-637.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,124,369,5498,90,5588,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,114,464,578,2021-02-02 14:09:17,"standard",346,2021-02-02 14:09:17.637,2021-02-02 14:09:17.616,0,330,16,0.318090818904933,0.0210001468658447,15.1470759198492,2.17303658732701
101420,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-656.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,124,374,5499,109,5608,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,131,464,595,2021-02-02 14:09:17,"standard",363,2021-02-02 14:09:17.656,2021-02-02 14:09:17.637,0,346,17,0.337971495086491,0.0189998149871826,17.7881466379798,2.17343182861245
101421,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-679.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,123,370,5490,126,5616,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,147,464,611,2021-02-02 14:09:17,"standard",379,2021-02-02 14:09:17.679,2021-02-02 14:09:17.656,0,363,16,0.318090818904933,0.0230000019073486,13.8300344576624,2.16987465704352
101422,"2020-210128",208704,"208704_1","Araneae","1_208704_1_2021_02_02-14-09-17-697.PNG",1,2020-06-24,"PM8V","high","PM",8,"V","CLM",NA,123,365,5478,127,5605,2000,50,100,8,"\images\Expo_2000_Ap_8\Araneae\208704\208704_1","CLM",0,164,464,628,2021-02-02 14:09:17,"standard",396,2021-02-02 14:09:17.697,2021-02-02 14:09:17.679,0,379,17,0.337971495086491,0.0180001258850098,18.7760628589797,2.16513176161829
